Title,Link,Company Name,Job Description,Skills,Location,Experience,Salary,Job ID,Job Function,Industry,Specialization,Role,Qualification,Employment Type,Vacancies
Data Science Project Internship,https://www.timesjobs.com/job-detail/data-science-project-internship-sparks-to-ideas-ahmedabad-botad-jamnagar-junagarh-mehsana-0-to-2-yrs-jobid-4H6mnxOtloZzpSvf__PLUS__uAgZw==,Sparks To Ideas,DescriptionWe are looking for a Data Science Project Intern to join our dynamic team. The intern will assist in developing and implementing data-driven solutions for our clien...,"Machine Learning, Data Cleaning, Power BI, Statistics, Tableau, Python, Excel, Opencv, Django","Ahmedabad,  Botad,  Jamnagar,  Junagarh,  Mehsana",0-2Years,1.05 - 2.00 Lakhs,70974025,IT Software : Software Products & Services,"Educational/Training,  IT-Software","Application Programming,Mobile,Training","Intern, Fresher, Web Programmer, Intern",Any Graduate,Intern,1.0
Business System Analyst,https://www.timesjobs.com/job-detail/business-system-analyst-whitekraaft-solutions-llp-pune-3-to-5-yrs-jobid-BwPNZwN6uJhzpSvf__PLUS__uAgZw==,Whitekraaft Solutions Llp,Data Mapping asper given data modelIntegrate business needs with technical solutionsstrong understanding of technical design principles and source systemsprior coding experien...,Business Analysis,Pune,3-5Years,As per Industry Standards,70974005,IT Software : Software Products & Services,IT-Software,System Analyst/Tech Architect,Business Analyst,Any Graduate,Contractual,1.0
Web Designer Job In Singapore,https://www.timesjobs.com/job-detail/web-designer-job-in-singapore-primex-immigration-llp-singapore-5-to-10-yrs-jobid-7pvqxwRUzkxzpSvf__PLUS__uAgZw==,Primex Immigration Llp,"For more information Call & WhatsApp on -Eight Four Four Eight Three Two One One Three TwoBuild navigation-friendly wireframes, websites and mock-ups that are usable, pers...","Web Designing, web designer, web developer, software developer",Singapore,5-10Years,60.00 - 98.00 Lakhs,70973952,IT Software : Software Products & Services,IT-Software,Graphic Designing/Animation/Web Designing,Web Designer,Any Graduate,Full Time,1.0
Software Engineer Job In Malta,https://www.timesjobs.com/job-detail/software-engineer-job-in-malta-world-wide-immigration-service-llp-5-to-10-yrs-jobid-2DyQ__PLUS__5WgDNRzpSvf__PLUS__uAgZw==,World Wide Immigration Service Llp,"For more information Call or WhatsAppus on Nine Eight Seven Zero One Seven Zero Six Two NineResponsibilities:Design & Development: Write clean, efficient, and maintainable...","software engineer, software developer, senior software engineer, software programmer, it",Malta (Malta),5-10Years,50.00 - 98.00 Lakhs,70973937,IT Software : Software Products & Services,IT-Software,"Application Programming,Software Engineer",Software Developer/ Programmer,Any Graduate,Full Time,1.0
It Project Manager,https://www.timesjobs.com/job-detail/it-project-manager-sameer-namdep-kedari-gurgaon-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-4-to-9-yrs-jobid-Yq__SLASH__OMeq9EZhzpSvf__PLUS__uAgZw==,Sameer Namdep Kedari,"IT Project Manager Responsibilities:Assisting in establishing a Project Management Office to oversee multiple projects.Liaising with stakeholders such as project personnel, ve...","IT Project Manager, Outstanding leadership","Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida",4-9Years,11.20 - 23.00 Lakhs,70973921,"Administration,IT Software : Software Products & Services",IT-Hardware/Networking,"Administration,Facilities management,Data Warehousing,Database Administration (DBA)",Project Manager,Any Graduate,Full Time,1.0
Qa/Qc Engineer Job Dubai,https://www.timesjobs.com/job-detail/qa-qc-engineer-job-dubai-cloud-visa-immigration-llp-dubai-australia-singapore-3-to-8-yrs-jobid-1sxU73The8xzpSvf__PLUS__uAgZw==,Cloud Visa Immigration Llp,"Responsibilities :Accountable for the quality and quality of every activity, precise knowledge of all aspects of engineering construction relating toCivil, Architectural, and ...","QA Testing, Testing Tools, Testing, Quality Assurance, qa engineer, qa lead, it analyst","Dubai,  Australia,  Singapore",3-8Years,45.00 - 98.00 Lakhs,70970051,IT Software : Software Products & Services,IT-Software,Quality Assurance/Testing,Other IT Software - Client Server,Any Graduate,Full Time,1.0
It - Sales Execuitve,https://www.timesjobs.com/job-detail/it-sales-execuitve-whitekraaft-solutions-llp-bengaluru-bangalore-hyderabad-secunderabad-pune-5-to-9-yrs-jobid-OQOw74g8eRZzpSvf__PLUS__uAgZw==,Whitekraaft Solutions Llp,Job opening for a Sales Executive - Technology ServicesJOB CODE - WK-01-SALES EXECLooking for a motivated and enthusiastic Sales Executive to join the team. This role is ideal...,"IT sales, Software Sales, Sales, sales executive, senior sales executive","Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Pune",5-9Years,7.00 - 10.00 Lakhs,70976056,"IT Software : Software Products & Services,Sales/Business Development","IT-Software,  Software Services","Business/Systems Analysis,Corporate Sales,Direct/Commission Sales,Technical Sales",Other IT Role,Any Graduate,Full Time,1.0
Qa & Qc Engineer Can Apply For Singapore Abroad With Family,https://www.timesjobs.com/job-detail/qa-qc-engineer-can-apply-for-singapore-abroad-with-family-world-wide-immigration-service-llp-dubai-germany-singapore-null-null-2-to-7-yrs-jobid-xV6LD__SLASH__7zVPlzpSvf__PLUS__uAgZw==,World Wide Immigration Service Llp,"For more information Call or WhatsAppus on Nine Eight Seven Zero One Seven Zero Six Two NineResponsibilities:Preparation and supervision of the company s QA manual, including ...","QA Testing, QA Process, QC, Quality Control, Quality Assurance","Dubai,  Germany,  Singapore,  null,  null",2-7Years,50.00 - 98.00 Lakhs,70977889,IT Software : Software Products & Services,IT-Software,Quality Assurance/Testing,Software Quality Assurance Engineer,Any Graduate,Full Time,1.0
Senior Consultant - Package Implementation,https://www.timesjobs.com/job-detail/senior-consultant-package-implementation-ltimindtree-bengaluru-bangalore-6-to-12-yrs-jobid-sqZbg__PLUS__Qi0s9zpSvf__PLUS__uAgZw==,Ltimindtree Ltd,Managing Solution Manager Projects and BlueprintEnd to End build post steps knowledge of Solution Manager sytemShould have worked on EWA configuration for JAVA stack systems B...,Mandatory Skills : SOLMAN ALM,Bengaluru / Bangalore,6-12Years,As per Industry Standards,70977457,IT Software : Software Products & Services,IT-Software,Information Systems,Consultant,Any Graduate,Full Time,1.0
Technical Support Engineer,https://www.timesjobs.com/job-detail/technical-support-engineer-electrobrain-modern-technologies-pvt-ltd-delhi-delhi-ncr-gurgaon-noida-greater-noida-pune-4-to-9-yrs-jobid-g0V__SLASH__wEdSB4FzpSvf__PLUS__uAgZw==,Electrobrain Modern Technologies Pvt Ltd,Job DescriptionResponsibilities and DutiesExcellent oral communication skills in English with a passion to resolve customer queries successfully and quicklyUnderstanding Opera...,"engineer, application engineer, technical engineer, technical support engineer, system engineer, desktop support engineer, customer support engineer, Service Engineer","Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Pune",4-9Years,7.15 - 16.60 Lakhs,70976130,IT Software : Software Products & Services,"IT-Software,  Software Services",Software Engineer,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Technical Architect - J48610,https://www.timesjobs.com/job-detail/technical-architect-j48610-sampoorna-consultants-pvt-ltd-mumbai-12-to-16-yrs-jobid-1Ux3VtoaQodzpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,Experience: 12+ Yrs.Location: BKC or Kurla (Equinnox Mall).Job Description:Excellent knowledge of Java and associated technologies for Website application development. Knowled...,"Java, Architect",Mumbai,12-16Years,35.00 - 40.00 Lakhs,70976093,IT Software : Software Products & Services,IT-Software,Software Engineer,Technical Architect,Any Graduate,Full Time,1.0
Data Science Internship In Ahmedabad,https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-surat-0-to-1-yrs-jobid-UFsMNq3__PLUS__u49zpSvf__PLUS__uAgZw==,Maxgen Technologies,Maxgen Technologies Pvt ltd is offering internship in ahmedabad. We are providing data scienceinternship with machine learning program.benefit we are offering?online or offlin...,"data science, machine learning","Ahmedabad,  Anand,  Gandhinagar,  Mehsana,  Surat",0-1Years,As per Industry Standards,70976075,IT Software : Software Products & Services,IT-Software,data science,Other IT Software - Others,Any Graduate,Intern,1.0
Specialist - Software Engineering,https://www.timesjobs.com/job-detail/specialist-software-engineering-ltimindtree-bengaluru-bangalore-5-to-9-yrs-jobid-1QxrZoz1NcRzpSvf__PLUS__uAgZw==,Ltimindtree Ltd,Job Description for Java Backend DeveloperTotal Experience: 5-8 YearsQualifications: BE / B. Tech or MCA degree in Computer ScienceLocation: Bangalore Mandatory skills:       ...,"Kubernetes, MS SQL, Spring, SpringBoot",Bengaluru / Bangalore,5-9Years,As per Industry Standards,70974269,IT Software : Software Products & Services,IT-Software,Information Systems,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Sharepoint Developer,https://www.timesjobs.com/job-detail/sharepoint-developer-157-industries-pvt-ltd-pune-3-to-5-yrs-jobid-A4GujCk__PLUS__sTxzpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,Mandatory Requirement :2-4 Years of experience in SPFx Development.2-4 years of experience in PowerApps and Power Automate Development.SharePoint Online Power Platform and O36...,SPFx Development,Pune,3-5Years,Best in Industry,70974037,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Software Developer/ Programmer,Any Graduate,Full Time,1.0
It Software Engineer Job In Singapore,https://www.timesjobs.com/job-detail/it-software-engineer-job-in-singapore-primex-immigration-llp-singapore-5-to-10-yrs-jobid-AjGwkE0yQ2pzpSvf__PLUS__uAgZw==,Primex Immigration Llp,"For more information Call & WhatsApp on -Eight Four Four Eight Three Two One One Three Twoanalyse user requirementswrite and test code, refining and rewriting it as necess...","it eng, it engineer, technical support engineer, system administrator, network administrator, IT software engineer",Singapore,5-10Years,50.00 - 98.00 Lakhs,70973951,IT Software : Software Products & Services,IT-Software,"Application Programming,Software Engineer","Database Architect/ Designer, System Security Engineer, Tech Architect",Any Graduate,Full Time,1.0
Qa Qc Engineer Job In Malta,https://www.timesjobs.com/job-detail/qa-qc-engineer-job-in-malta-world-wide-immigration-service-llp-5-to-10-yrs-jobid-knYsPspa7nBzpSvf__PLUS__uAgZw==,World Wide Immigration Service Llp,For more information Call or WhatsAppus on Nine Eight Seven Zero One Seven Zero Six Two NineResponsibilities:Reporting metrics and statistics on quality related issues such as...,"QA Testing, QA Process, QC, Quality Control, Quality Assurance",Malta (Malta),5-10Years,50.00 - 98.00 Lakhs,70973931,IT Software : Software Products & Services,IT-Software,Quality Assurance/Testing,Software Quality Assurance Engineer,Any Graduate,Full Time,1.0
Specialist - Package Implementation,https://www.timesjobs.com/job-detail/specialist-package-implementation-ltimindtree-navi-mumbai-3-to-6-yrs-jobid-8Z0pBR6QxkVzpSvf__PLUS__uAgZw==,Ltimindtree Ltd,Develop and maintain custom ABAP programs for HR modules including Payroll Time Management and Personnel AdministrationCollaborate with functional teams to gather requirements...,RICF-SPDD-SPAU-ATC Remediation,Navi Mumbai,3-6Years,As per Industry Standards,70976797,IT Software : Software Products & Services,IT-Software,Information Systems,Other IT Role,Any Graduate,Full Time,1.0
Python Developer,https://www.timesjobs.com/job-detail/python-developer-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-4-to-9-yrs-jobid-4aumk__PLUS__VMTKNzpSvf__PLUS__uAgZw==,Electrobrain Modern Technologies Pvt Ltd,Job DescriptionCoordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Testing and debugging applicat...,"Node, js, Mongodb, Django, Python, Numpy, AWS, Api, Engineer, system administrator","Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai",4-9Years,8.20 - 17.65 Lakhs,70976129,IT Software : Software Products & Services,"IT-Software,  Software Services",Software Engineer,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Python Internship In Ahmedabad,https://www.timesjobs.com/job-detail/python-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-iX7f2hMA9Y5zpSvf__PLUS__uAgZw==,Maxgen Technologies,Maxgen Technologies Pvt ltd is an it company based in ahmedabad . We are providing python internship and web development program.why seeking usreputed organisation .friendly w...,python,"Ahmedabad,  Bhavnagar,  Junagarh,  Rajkot,  Surendranagar",0-1Years,As per Industry Standards,70976074,IT Software : Software Products & Services,IT-Software,python,Other IT Software - Others,Any Graduate,Intern,1.0
Power Apps Developer,https://www.timesjobs.com/job-detail/power-apps-developer-157-industries-pvt-ltd-pune-7-to-10-yrs-jobid-qfKX1JFR6T9zpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,"App Development: Designing, developing, and deploying custom business applications using Microsoft Power Apps. This involves creating user interfaces, defining data sources, a...","Power Apps, application developer",Pune,7-10Years,Best in Industry,70974035,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Data Governance Admin,https://www.timesjobs.com/job-detail/data-governance-admin-ltimindtree-ltd-bengaluru-bangalore-delhi-delhi-ncr-kolkata-coimbatore-5-to-8-yrs-jobid-e__SLASH__aQok9IRi5zpSvf__PLUS__uAgZw==,Ltimindtree Ltd,"5 to 8 years of experience with strong knowledge and experience in Data governance administration.      Should have strong admin experience in Informatica IDQ, EDC and AXON.  ...",IDQ,"Bengaluru / Bangalore,  Delhi,  Delhi/NCR,  Kolkata,  Coimbatore",5-8Years,As per Industry Standards,70974029,IT Software : Software Products & Services,IT-Software,Client Server,Other IT Role,Any Graduate,Full Time,1.0
Php Developer Job In Singapore,https://www.timesjobs.com/job-detail/php-developer-job-in-singapore-primex-immigration-llp-singapore-3-to-8-yrs-jobid-1Ujb4wmv2vFzpSvf__PLUS__uAgZw==,Primex Immigration Llp,For more information Call & WhatsApp on -Eight Four Four Eight Three Two One One Three TwoTroubleshoot and fix any glitches or errors in web programming using PHPTurn feed...,"PHP Developing, php developer, software developer, PHP c ++ Java, Database",Singapore,3-8Years,50.00 - 98.00 Lakhs,70973946,IT Software : Software Products & Services,IT-Software,php,Database Analyst/ Programmer,Any Graduate,Full Time,1.0
Sr Software Developer,https://www.timesjobs.com/job-detail/sr-software-developer-electrobrain-modern-technologies-pvt-ltd-delhi-delhi-ncr-gurgaon-noida-greater-noida-pune-3-to-8-yrs-jobid-U009SUPJyfZzpSvf__PLUS__uAgZw==,Electrobrain Modern Technologies Pvt Ltd,"Job DescriptionMeeting with development managers to discuss software projects.Conducting feasibility studies for upgraded software systems.Designing new software programs, web...","Wcf, Jquery, Javascript, Css, Java BEAN, Ajax, Xml","Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Pune",3-8Years,7.20 - 17.60 Lakhs,70976128,IT Software : Software Products & Services,"IT-Software,  Software Services",Software Engineer,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Senior Specialist - Package Implementation,https://www.timesjobs.com/job-detail/senior-specialist-package-implementation-ltimindtree-chennai-8-to-12-yrs-jobid-h1M9wT6rvHlzpSvf__PLUS__uAgZw==,Ltimindtree Ltd,Handson SAP development experience in SAP Business Workflow related implementation workstreams8 years related overall strong knowledge in the following areas SAP workflow anal...,"RICF-SPDD-SPAU-ATC Remediation, WebDynpro ABAP-FPM",Chennai,8-12Years,As per Industry Standards,70976079,IT Software : Software Products & Services,IT-Software,Information Systems,Other IT Role,Any Graduate,Full Time,1.0
Sql Developer,https://www.timesjobs.com/job-detail/sql-developer-157-industries-pvt-ltd-pune-6-to-9-yrs-jobid-CPSJFKng68tzpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,"Requirement :Develop high-quality database solutions.Create complex functions, scripts, stored procedures and triggers to support application development.Evaluate existing dat...","complex functions, scripts, stored procedures",Pune,6-9Years,Best in Industry,70974034,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Data Governance Admin,https://www.timesjobs.com/job-detail/data-governance-admin-ltimindtree-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-pune-5-to-8-yrs-jobid-RWiN9zdIQsdzpSvf__PLUS__uAgZw==,Ltimindtree Ltd,"5 to 8 years of experience with strong knowledge and experience in Data governance administration.      Should have strong admin experience in Informatica IDQ, EDC and AXON.  ...","Data Governance Admin, IDQ, EDC Admin","Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",5-8Years,As per Industry Standards,70974026,IT Software : Software Products & Services,IT-Software,Client Server,Other IT Role,Any Graduate,Full Time,1.0
Lead Data Manager,https://www.timesjobs.com/job-detail/lead-data-manager-electrobrain-modern-technologies-pvt-ltd-delhi-delhi-ncr-gurgaon-noida-greater-noida-pune-3-to-8-yrs-jobid-5sBcHzAv2slzpSvf__PLUS__uAgZw==,Electrobrain Modern Technologies Pvt Ltd,"Job DescriptionCreate and enforce policies for effective data managementFormulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of dataDev...","Drafting Agreements Contracts, General Ledger, data reconciliation, Data Management, stakeholder management","Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Pune",3-8Years,7.15 - 17.50 Lakhs,70976126,IT Software : Software Products & Services,"IT-Software,  Software Services",Software Engineer,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Specialist - Software Engineering,https://www.timesjobs.com/job-detail/specialist-software-engineering-ltimindtree-bengaluru-bangalore-5-to-9-yrs-jobid-JQMeTQ75aKBzpSvf__PLUS__uAgZw==,Ltimindtree Ltd,Job Description for Java Backend DeveloperTotal Experience: 5-8 YearsQualifications: BE / B. Tech or MCA degree in Computer ScienceLocation: Bangalore Mandatory skills:       ...,"Kubernetes, MS SQL, Spring, SpringBoot",Bengaluru / Bangalore,5-9Years,As per Industry Standards,70974274,IT Software : Software Products & Services,IT-Software,Information Systems,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Erpnext- Project Manager,https://www.timesjobs.com/job-detail/erpnext-project-manager-157-industries-pvt-ltd-mumbai-5-to-6-yrs-jobid-zNiA7hH4LAVzpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,Requirement :Understand clients business requirements.Make implementation schedule (timeline).Mobilise resources for the project by coordinating with Big Spectra resource team...,"UAT, Training, project progress",Mumbai,5-6Years,Best in Industry,70974019,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Project Manager,Any Graduate,Full Time,1.0
It Associate,https://www.timesjobs.com/job-detail/it-associate-electrobrain-modern-technologies-pvt-ltd-delhi-delhi-ncr-gurgaon-noida-greater-noida-pune-4-to-9-yrs-jobid-f6XnD9bb8Z5zpSvf__PLUS__uAgZw==,Electrobrain Modern Technologies Pvt Ltd,"Job DescriptionTechnical Support: Provide frontline technical support to end-users via phone, email, or in-personTroubleshoot hardware, software, and network issues, and resol...","desktop support, compliance, network support, it asset management, networking, desktop engineering, computer hardware","Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Pune",4-9Years,7.25 - 17.70 Lakhs,70976124,IT Software : Software Products & Services,"IT-Software,  Software Services",Software Engineer,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Erpnext -Functional Consultant,https://www.timesjobs.com/job-detail/erpnext-functional-consultant-157-industries-pvt-ltd-mumbai-3-to-5-yrs-jobid-R1D7Q3VjfWVzpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,Requirement :Understand clients business requirements.Configure ERPNext as per the business requirement.Conduct User Acceptance Test (UAT).Identify Gaps.Coordinate with Projec...,"User Acceptance Test, Identify Gaps",Mumbai,3-5Years,Best in Industry,70974018,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Consultant,Any Graduate,Full Time,1.0
Qa - Salesforce Testing,https://www.timesjobs.com/job-detail/qa-salesforce-testing-157-industries-pvt-ltd-mumbai-6-to-8-yrs-jobid-EvnC8QuCbu1zpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,"Requirement :3 -7 Experience as SF QA.Conduct functional, regression, performance, and security testing for Salesforce features and customizations.Perform data validation, dat...","QA, quality assurance",Mumbai,6-8Years,Best in Industry,70974017,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Software Quality Assurance Engineer,Any Graduate,Full Time,1.0
Salesforce Developer,https://www.timesjobs.com/job-detail/salesforce-developer-157-industries-pvt-ltd-mumbai-3-to-5-yrs-jobid-JiT9H4pGTNpzpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,"3 - 5 years IT industry total experience, with 3 years specifically in Salesforcecom development, and implementation, administration, and configuration.The Salesforce developm...","Service Cloud Consultant, saleCloud Consultant, frameworks, java",Mumbai,3-5Years,Best in Industry,70974015,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Devops Engineer,https://www.timesjobs.com/job-detail/devops-engineer-157-industries-pvt-ltd-pune-5-to-8-yrs-jobid-Pew9z1__SLASH__uCcpzpSvf__PLUS__uAgZw==,157 Industries Pvt Ltd,"Requirements :Mandatory Skills -Terraform , Docker, Arm, Ansible Rexx, CI/CDExperience in Azure (NOT AWS Please) Experience in Release and Deployment management.Work with CI/C...","DevOps, Gitlab CD, Kubernetes, Helm Charts",Pune,5-8Years,Best in Industry,70974014,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software",Application Programming,Software Developer/ Programmer,Any Graduate,Full Time,1.0
